graph_name,vertex_count,edge_probability,num_3_cycles,num_4_cycles,total_cycles,h1_dimension,group,edge_graph_time_sec,cellular_time_sec,cubical_time_sec,ratio_cellular_over_edge,ratio_cubical_over_edge,ratio_cellular_over_cubical,fastest_method
erdos_renyi_300_0.12596715902136,300,0.12596715902136,9089,257999,267088,0,High Vertices/Variable Edge Probability,78.40514802932739,7.768142181,21730.678199357,0.0991,277.1588,0.0004,cellular
erdos_renyi_300_0.07794843549433302,300,0.07794843549433302,2329,43009,45338,0,High Vertices/Variable Edge Probability,20.710858821868896,0.738383433,1746.603068346,0.0357,84.3327,0.0004,cellular
erdos_renyi_300_0.10358958617388103,300,0.10358958617388103,4971,117417,122388,0,High Vertices/Variable Edge Probability,46.40365695953369,3.112701465,6632.405055625,0.0671,142.9285,0.0005,cellular
erdos_renyi_300_0.11765847978025928,300,0.11765847978025928,7291,191264,198555,0,High Vertices/Variable Edge Probability,54.9590630531311,5.454601325,10289.235341113,0.0992,187.2164,0.0005,cellular
erdos_renyi_300_0.08809351398481377,300,0.08809351398481377,3032,58415,61447,0,High Vertices/Variable Edge Probability,24.878578901290894,1.979582991,2746.858865209,0.0796,110.4106,0.0007,cellular
erdos_renyi_300_0.11351092611870987,300,0.11351092611870987,6551,165644,172195,0,High Vertices/Variable Edge Probability,108.82434797286987,5.664475563,10909.010470825,0.0521,100.2442,0.0005,cellular
erdos_renyi_300_0.11440688358949999,300,0.11440688358949999,6477,163329,169806,0,High Vertices/Variable Edge Probability,91.28220701217651,4.954647374,10432.603068895,0.0543,114.2896,0.0005,cellular
erdos_renyi_300_0.0885080135291904,300,0.0885080135291904,3126,61048,64174,0,High Vertices/Variable Edge Probability,25.30896806716919,2.184352991,3009.322669972,0.0863,118.9034,0.0007,cellular
erdos_renyi_300_0.09654905410941826,300,0.09654905410941826,4256,93753,98009,0,High Vertices/Variable Edge Probability,36.54922199249267,1.998764771,4133.235361073,0.0547,113.0868,0.0005,cellular
erdos_renyi_300_0.0828731961952055,300,0.0828731961952055,2629,49287,51916,0,High Vertices/Variable Edge Probability,17.909528017044067,0.975203848,3002.994786158,0.0545,167.6758,0.0003,cellular
erdos_renyi_300_0.08371426089664226,300,0.08371426089664226,2593,48033,50626,0,High Vertices/Variable Edge Probability,18.67422103881836,1.315601065,2711.042760513,0.0705,145.1757,0.0005,cellular
erdos_renyi_300_0.09400475286807532,300,0.09400475286807532,3732,78976,82708,0,High Vertices/Variable Edge Probability,25.015745878219604,1.836779573,2835.021045819,0.0734,113.3295,0.0006,cellular
erdos_renyi_300_0.12265506898310916,300,0.12265506898310916,8729,246636,255365,0,High Vertices/Variable Edge Probability,81.29861593246459,7.218403922,18376.886492807,0.0888,226.0418,0.0004,cellular
erdos_renyi_300_0.12249298062597215,300,0.12249298062597215,7780,208700,216480,0,High Vertices/Variable Edge Probability,71.31403589248657,5.310839632,12187.090221836,0.0745,170.8933,0.0004,cellular
erdos_renyi_300_0.1280877051421508,300,0.1280877051421508,8431,235017,243448,0,High Vertices/Variable Edge Probability,77.20431709289551,5.954026807,14128.059577373,0.0771,182.9957,0.0004,cellular
erdos_renyi_300_0.09911677677109675,300,0.09911677677109675,4559,100230,104789,0,High Vertices/Variable Edge Probability,35.25446701049805,2.203220453,4591.210987218,0.0625,130.2306,0.0005,cellular
erdos_renyi_300_0.1137633609783811,300,0.1137633609783811,6737,171373,178110,0,High Vertices/Variable Edge Probability,54.07372093200683,4.47042727,7657.239954356,0.0827,141.6074,0.0006,cellular
erdos_renyi_300_0.09092388787127526,300,0.09092388787127526,3330,65881,69211,0,High Vertices/Variable Edge Probability,54.64978814125061,2.242871331,3387.408241901,0.0410,61.9839,0.0007,cellular
