graph_name,vertex_count,edge_probability,num_3_cycles,num_4_cycles,total_cycles,h2_dimension,h2_agreement,cubical_time_sec,basic_time_sec,ratio_cubical_over_basic,fastest_method
erdos_renyi_100_0.043747904664888884,100,0.043747904664888884,3,25,28,0,agree,0.888824224472046,0.009856,90.1810,basic
erdos_renyi_100_0.05924148526774316,100,0.05924148526774316,46,173,219,0,agree,5.013273954391479,0.09368,53.5149,basic
erdos_renyi_101_0.06370174570761714,101,0.06370174570761714,39,209,248,6,agree,5.499264001846313,0.085665,64.1950,basic
erdos_renyi_102_0.05232883528372401,102,0.05232883528372401,23,83,106,0,agree,2.888191938400268,0.055375,52.1570,basic
erdos_renyi_103_0.038007833933062826,103,0.038007833933062826,6,16,22,0,agree,0.672810077667236,0.020545,32.7481,basic
erdos_renyi_103_0.04650483496117249,103,0.04650483496117249,19,54,73,0,agree,1.554386854171753,0.032685,47.5566,basic
erdos_renyi_103_0.06404701676005997,103,0.06404701676005997,43,191,234,3,agree,6.059205055236816,0.094734,63.9602,basic
erdos_renyi_104_0.0447141064847049,104,0.0447141064847049,18,50,68,0,agree,1.923074960708618,0.020913,91.9560,basic
erdos_renyi_104_0.050131329335110206,104,0.050131329335110206,21,121,142,0,agree,3.103668928146362,0.076298,40.6782,basic
erdos_renyi_105_0.06922246806014373,105,0.06922246806014373,45,196,241,2,agree,5.622421979904175,0.104686,53.7075,basic
erdos_renyi_106_0.03870945997907921,106,0.03870945997907921,20,44,64,0,agree,1.614090919494629,0.037502,43.0401,basic
erdos_renyi_106_0.04156131859759702,106,0.04156131859759702,23,85,108,0,agree,2.919836044311524,0.055,53.0879,basic
erdos_renyi_106_0.048117876662660895,106,0.048117876662660895,23,86,109,0,agree,2.381263017654419,0.055409,42.9761,basic
erdos_renyi_106_0.04813751326558044,106,0.04813751326558044,20,102,122,0,agree,3.016294956207276,0.049544,60.8811,basic
erdos_renyi_106_0.06974265102318675,106,0.06974265102318675,67,349,416,11,agree,9.999266147613525,0.154574,64.6892,basic
erdos_renyi_107_0.05142023221713278,107,0.05142023221713278,30,138,168,1,agree,4.503888130187988,0.066876,67.3469,basic
erdos_renyi_107_0.0545044744965142,107,0.0545044744965142,25,149,174,0,agree,3.886195182800293,0.130709,29.7317,basic
erdos_renyi_107_0.0599479428833444,107,0.0599479428833444,49,204,253,3,agree,5.268218994140625,0.092493,56.9580,basic
erdos_renyi_108_0.03415789706063938,108,0.03415789706063938,5,14,19,0,agree,1.064684152603149,0.012515,85.0726,basic
erdos_renyi_109_0.04278262316740315,109,0.04278262316740315,12,75,87,0,agree,2.202617883682251,0.042416,51.9289,basic
erdos_renyi_109_0.04895878373099983,109,0.04895878373099983,28,129,157,1,agree,4.032157182693482,0.063018,63.9842,basic
erdos_renyi_109_0.05237675378622915,109,0.05237675378622915,31,138,169,0,agree,4.202104091644287,0.09992,42.0547,basic
erdos_renyi_109_0.05521013937161892,109,0.05521013937161892,31,124,155,0,agree,3.698294878005982,0.113368,32.6220,basic
erdos_renyi_109_0.0569673731327707,109,0.0569673731327707,50,219,269,1,agree,5.992859840393066,0.113159,52.9596,basic
erdos_renyi_109_0.06656750279175994,109,0.06656750279175994,73,379,452,21,agree,10.575499057769775,0.200505,52.7443,basic
erdos_renyi_110_0.051523407570926945,110,0.051523407570926945,23,112,135,0,agree,3.34542179107666,0.075764,44.1558,basic
erdos_renyi_111_0.04778202010785318,111,0.04778202010785318,18,77,95,0,agree,3.422955989837646,0.056502,60.5811,basic
erdos_renyi_112_0.05601916579827232,112,0.05601916579827232,45,212,257,3,agree,5.917362928390503,0.140779,42.0330,basic
erdos_renyi_113_0.030748773103349905,113,0.030748773103349905,6,14,20,0,agree,4.136588096618652,0.180136,22.9637,basic
